ID,Country,UNICEF_Programme_Region_Latest,UNICEF_Programme_Region_Latest_EX_CHN,UNICEF_Programme_Region_2022,UNICEF_Programme_Region_2022_EX_CHN,UNICEF_Programme_Region_2021,UNICEF_Programme_Region_2021_EX_CHN,UNICEF_Programme_Region_Pre_2017,UNICEF_Programme_Pacific,UNICEF_Programme_Pacific_EX_PNG,UNICEF_Reporting_Region,UNICEF_Reporting_Region_EX_CHN,UNICEF_Reporting_Sub_Region,UNICEF_Reporting_Pacific,UNICEF_Reporting_Pacific_EX_PNG,UNICEF Status,SOWC Country,SOWC_Reporting_Region,SOWC_Reporting_Sub_Region,Countdown Country,Sub-Saharan Africa,Asia and Africa,LDC_2014,LDC_2017,LDC_2018,LDC_2020,LDC_Latest,OIC,UNECA,UNECA_ECCAS,AU,UNECA_ECOWAS,ASEAN,UN Status,UN Region,UN Region_EX_JPN,UN Sub Region,UN Sub Region_EX_JPN,MDG Region,SDG Region,SDG Region_EXC_JPN,SDG Region Condensed,SDG Reporting Country,LLDS-SIDS_2018,LLDS-SIDS_Latest,World Bank Regions,WB_1990,WB_1990_3_Group,WB_1990_2_Group,WB_1991,WB_1991_3_Group,WB_1991_2_Group,WB_1992,WB_1992_3_Group,WB_1992_2_Group,WB_1993,WB_1993_3_Group,WB_1993_2_Group,WB_1994,WB_1994_3_Group,WB_1994_2_Group,WB_1995,WB_1995_3_Group,WB_1995_2_Group,WB_1996,WB_1996_3_Group,WB_1996_2_Group,WB_1997,WB_1997_3_Group,WB_1997_2_Group,WB_1998,WB_1998_3_Group,WB_1998_2_Group,WB_1999,WB_1999_3_Group,WB_1999_2_Group,WB_2000,WB_2000_3_Group,WB_2000_2_Group,WB_2001,WB_2001_3_Group,WB_2001_2_Group,WB_2002,WB_2002_3_Group,WB_2002_2_Group,WB_2003,WB_2003_2_Group,WB_2003_3_Group,WB_2004,WB_2004_3_Group,WB_2004_2_Group,WB_2005,WB_2005_3_Group,WB_2005_2_Group,WB_2006,WB_2006_3_Group,WB_2006_2_Group,WB_2007,WB_2007_3_Group,WB_2007_2_Group,WB_2008,WB_2008_3_Group,WB_2008_2_Group,WB_2009,WB_2009_3_Group,WB_2009_2_Group,WB_2010,WB_2010_3_Group,WB_2010_2_Group,WB_2011,WB_2011_3_Group,WB_2011_2_Group,WB_2012,WB_2012_3_Group,WB_2012_2_Group,WB_2013,WB_2013_3_Group,WB_2013_2_Group,WB_2014,WB_2014_3_Group,WB_2014_2_Group,WB_2015,WB_2015_3_Group,WB_2015_2_Group,WB_2016,WB_2016_3_Group,WB_2016_2_Group,WB_2017,WB_2017_3_Group,WB_2017_2_Group,WB_2018,WB_2018_3_Group,WB_2018_2_Group,WB_2019,WB_2019_3_Group,WB_2019_2_Group,WB_2020,WB_2020_3_Group,WB_2020_2_Group,WB_2021,WB_2021_3_Group,WB_2021_2_Group,WB_2022,WB_Latest,WB_Latest_3_Group,WB_Latest_2_Group,WHO Status,WHO Region,Low_Income_Food_Deficit_2016,Low_Income_Food_Deficit_2018,Low_Income_Food_Deficit_2021,Low_Income_Food_Deficit_2022,Low_Income_Food_Deficit_Latest,HAC_2011,HAC_2012,HAC_2013,HAC_2014,HAC_2015,HAC_2016,HAC_2017,HAC_2018,HAC_2019,HAC_2020,HAC_2021,HAC_2022,HAC_2023,HAC_Latest,Fragile_Situation_FY19,Fragile_Situation_Expanded_FY21,Fragile_Situation_FY21,Fragile_Situation_Expanded_FY22,Fragile_Situation_FY22,Fragile_Situation_Expanded_FY23,Fragile_Situation_FY23,Fragile_Situation_Latest,OECD_Fragile_2018,OECD_Fragile_2020,OECD_Fragile_2022,OECD_Fragile_Latest,OCHA_GHO_2019,OCHA_GHO_2020,OCHA_GHO_2021,OCHA_GHO_2022,OCHA_GHO_Latest,ENAP_2018,ENAP_2019,ENAP_Latest,GPEI_Priority,VAS_Priority_2018,VAS_Priority_2019,VAS_Priority_Latest,SP_Stunting_Exclusive_DD_Salt,SP_Wasting_SAM,SP_SAM_Integration,SP_Overweight,SP_ANC,SP_Adolescents_IFA,SP_MNP,SP_Immunization,SP_Child_Health,SP_MNTE,SP_Humanitarian_2020,SP_Humanitarian_2021,SP_Humanitarian_Latest,SP_High_Burden_2021,SP_High_Burden_Latest,Nutrition_Programme_2018,Nutrition_Programme_Latest,Nutrition_Programme_Latest_Programme_Region,Notes,AllCountries,Compliance Asset Id,CND_Country_Code,M49,ISO-3 Code,WB_Code,Color Tag
1,Austria,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Industrialized,Not Classified,Not Classified,ECA,ECA,WE,Not Classified,Not Classified,NatCom,Yes,ECA,WE,No,No,Not Classified,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Member State or Permanent Observer,Europe,Europe,Western Europe,Western Europe,Developed regions,Northern America and Europe,Northern America and Europe,"Australia, Europe, New Zealand and Northern America",Yes,Not Classified,Not Classified,Europe & Central Asia,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,WHO Member State,EURO,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,No,No,No,No,No,No,No,Development,Development,Development,Not Classified,Not Classified,No,No,Not Classified,,Yes,,AUT,40.0000000000000,AUT,AUT,
2,Belgium,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Industrialized,Not Classified,Not Classified,ECA,ECA,WE,Not Classified,Not Classified,NatCom,Yes,ECA,WE,No,No,Not Classified,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Member State or Permanent Observer,Europe,Europe,Western Europe,Western Europe,Developed regions,Northern America and Europe,Northern America and Europe,"Australia, Europe, New Zealand and Northern America",Yes,Not Classified,Not Classified,Europe & Central Asia,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,WHO Member State,EURO,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,No,No,No,No,No,No,No,Development,Development,Development,Not Classified,Not Classified,No,No,Not Classified,,Yes,,BEL,56.0000000000000,BEL,BEL,
3,France,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Industrialized,Not Classified,Not Classified,ECA,ECA,WE,Not Classified,Not Classified,NatCom,Yes,ECA,WE,No,No,Not Classified,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Member State or Permanent Observer,Europe,Europe,Western Europe,Western Europe,Developed regions,Northern America and Europe,Northern America and Europe,"Australia, Europe, New Zealand and Northern America",Yes,Not Classified,Not Classified,Europe & Central Asia,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,WHO Member State,EURO,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,No,No,No,No,No,No,No,Development,Development,Development,Not Classified,Not Classified,No,No,Not Classified,,Yes,,FRA,250.000000000000,FRA,FRA,
4,Germany,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Industrialized,Not Classified,Not Classified,ECA,ECA,WE,Not Classified,Not Classified,NatCom,Yes,ECA,WE,No,No,Not Classified,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Member State or Permanent Observer,Europe,Europe,Western Europe,Western Europe,Developed regions,Northern America and Europe,Northern America and Europe,"Australia, Europe, New Zealand and Northern America",Yes,Not Classified,Not Classified,Europe & Central Asia,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,WHO Member State,EURO,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,No,No,No,No,No,No,No,Development,Development,Development,Not Classified,Not Classified,No,No,Not Classified,,Yes,,DEU,276.000000000000,DEU,DEU,
5,Liechtenstein,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Industrialized,Not Classified,Not Classified,ECA,ECA,WE,Not Classified,Not Classified,NatCom,Yes,ECA,WE,No,No,Not Classified,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Member State or Permanent Observer,Europe,Europe,Western Europe,Western Europe,Developed regions,Northern America and Europe,Northern America and Europe,"Australia, Europe, New Zealand and Northern America",Yes,Not Classified,Not Classified,Europe & Central Asia,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,Not Classified,Not Classified,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,No,No,No,No,No,No,No,Development,Development,Development,Not Classified,Not Classified,No,No,Not Classified,,Yes,,LIE,438.000000000000,LIE,LIE,
6,Luxembourg,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Industrialized,Not Classified,Not Classified,ECA,ECA,WE,Not Classified,Not Classified,NatCom,Yes,ECA,WE,No,No,Not Classified,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Member State or Permanent Observer,Europe,Europe,Western Europe,Western Europe,Developed regions,Northern America and Europe,Northern America and Europe,"Australia, Europe, New Zealand and Northern America",Yes,Not Classified,Not Classified,Europe & Central Asia,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,WHO Member State,EURO,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,No,No,No,No,No,No,No,Development,Development,Development,Not Classified,Not Classified,No,No,Not Classified,,Yes,,LUX,442.000000000000,LUX,LUX,
7,Monaco,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Industrialized,Not Classified,Not Classified,ECA,ECA,WE,Not Classified,Not Classified,Not Classified,Yes,ECA,WE,No,No,Not Classified,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Member State or Permanent Observer,Europe,Europe,Western Europe,Western Europe,Developed regions,Northern America and Europe,Northern America and Europe,"Australia, Europe, New Zealand and Northern America",Yes,Not Classified,Not Classified,Europe & Central Asia,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,WHO Member State,EURO,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,No,No,No,No,No,No,No,Development,Development,Development,Not Classified,Not Classified,No,No,Not Classified,,Yes,,MCO,492.000000000000,MCO,MCO,
8,Netherlands (Kingdom of the),Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Industrialized,Not Classified,Not Classified,ECA,ECA,WE,Not Classified,Not Classified,NatCom,Yes,ECA,WE,No,No,Not Classified,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Member State or Permanent Observer,Europe,Europe,Western Europe,Western Europe,Developed regions,Northern America and Europe,Northern America and Europe,"Australia, Europe, New Zealand and Northern America",Yes,Not Classified,Not Classified,Europe & Central Asia,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,WHO Member State,EURO,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,No,No,No,No,No,No,No,Development,Development,Development,Not Classified,Not Classified,No,No,Not Classified,,Yes,,NLD,528.000000000000,NLD,NLD,
9,Switzerland,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Industrialized,Not Classified,Not Classified,ECA,ECA,WE,Not Classified,Not Classified,NatCom,Yes,ECA,WE,No,No,Not Classified,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Member State or Permanent Observer,Europe,Europe,Western Europe,Western Europe,Developed regions,Northern America and Europe,Northern America and Europe,"Australia, Europe, New Zealand and Northern America",Yes,Not Classified,Not Classified,Europe & Central Asia,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,High Income,WHO Member State,EURO,No,No,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,No,No,No,No,No,No,No,Development,Development,Development,Not Classified,Not Classified,No,No,Not Classified,,Yes,,CHE,756.000000000000,CHE,CHE,
10,Türkiye,ECAR,ECAR,ECAR,ECAR,ECAR,ECAR,ECARO,Not Classified,Not Classified,ECA,ECA,EECA,Not Classified,Not Classified,Programme Country and NatCom,Yes,ECA,EECA,No,No,Not Classified,No,No,No,No,No,Asia/other,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Member State or Permanent Observer,Asia,Asia,Western Asia,Western Asia,Western Asia,Western Asia and Northern Africa,Western Asia and Northern Africa,Western Asia and Northern Africa,Yes,Not Classified,Not Classified,Europe & Central Asia,Lower Middle Income,Middle Income,Low and Middle Income,Lower Middle Income,Middle Income,Low and Middle Income,Lower Middle Income,Middle Income,Low and Middle Income,Lower Middle Income,Middle Income,Low and Middle Income,Lower Middle Income,Middle Income,Low and Middle Income,Lower Middle Income,Middle Income,Low and Middle Income,Lower Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Lower Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Lower Middle Income,Middle Income,Low and Middle Income,Lower Middle Income,Middle Income,Low and Middle Income,Lower Middle Income,Low and Middle Income,Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,Upper Middle Income,Upper Middle Income,Middle Income,Low and Middle Income,WHO Member State,EURO,No,No,No,No,No,Not Classified,Not Classified,HAC Country,HAC Country,HAC Country,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,Not Classified,Not Classified,Not Classified,Not Classified,No,No,No,No,No,No,No,No,No,No,Development,Development,Development,Not Classified,Not Classified,No,No,Not Classified,,Yes,,TUR,792.000000000000,TUR,TUR,
