ID,Standard Disaggregations,Background Characteristics,Disaggregate ID,CND_REGEX,HELIX_SEX,HELIX_AGE,HELIX_WEALTH_QUINTILE,HELIX_RESIDENCE,HELIX_MATERNAL_EDU_LVL,HELIX_HEAD_OF_HOUSE,Compliance Asset Id,Background Characteristics:Characteristic ID,Attachments
1,National,National,,National,,,_T,_T,_T,_T,,national,0
2,male head,Sex of Household Head,,male_head,,,,,,,,sex_hh,0
3,female head,Sex of Household Head,,female_head,,,,,,,,sex_hh,0
4,urban,Area,1,urban,,,,U,,,,area_type,0
5,rural,Area,2,rural,,,,R,,,,area_type,0
6,Q1,Household Wealth Quintile,1,Q1,,,Q1,,,,,windex5,0
7,Q2,Household Wealth Quintile,2,Q2,,,Q2,,,,,windex5,0
8,Q3,Household Wealth Quintile,3,Q3,,,Q3,,,,,windex5,0
9,Q4,Household Wealth Quintile,4,Q4,,,Q4,,,,,windex5,0
10,Q5,Household Wealth Quintile,5,Q5,,,Q5,,,,,windex5,0
11,D1,Household Wealth Decile,,D1,,,,,,,,wealth_decile,0
12,D2,Household Wealth Decile,,D2,,,,,,,,wealth_decile,0
13,D3,Household Wealth Decile,,D3,,,,,,,,wealth_decile,0
14,D4,Household Wealth Decile,,D4,,,,,,,,wealth_decile,0
15,D5,Household Wealth Decile,,D5,,,,,,,,wealth_decile,0
16,D6,Household Wealth Decile,,D6,,,,,,,,wealth_decile,0
17,D7,Household Wealth Decile,,D7,,,,,,,,wealth_decile,0
18,D8,Household Wealth Decile,,D8,,,,,,,,wealth_decile,0
19,D9,Household Wealth Decile,,D9,,,,,,,,wealth_decile,0
20,D10,Household Wealth Decile,,D10,,,,,,,,wealth_decile,0
21,T1,Household Wealth Tercile,,T1,,,,,,,,wealth_tercile,0
22,T2,Household Wealth Tercile,,T2,,,,,,,,wealth_tercile,0
23,T3,Household Wealth Tercile,,T3,,,,,,,,wealth_tercile,0
24,Bottom 60%,Household Wealth Share,,Bottom_60,,,,,,,,wealth_share,0
25,Top 40%,Household Wealth Share,,Top_40,,,,,,,,wealth_share,0
26,Bottom 40%,Household Wealth Share,,Bottom_40,,,,,,,,wealth_share,0
27,Top 60%,Household Wealth Share,,Top_60,,,,,,,,wealth_share,0
28,Bottom 20%,Household Wealth Share,,Bottom_20,,,,,,,,wealth_share,0
29,Top 80%,Household Wealth Share,,Top_80,,,,,,,,wealth_share,0
30,Bottom 80%,Household Wealth Share,,Bottom_80,,,,,,,,wealth_share,0
31,Top 20%,Household Wealth Share,,Top_20,,,,,,,,wealth_share,0
32,Region 1,Subnational Region,,Region_1,,,,,,,,region_id,0
33,Region 2,Subnational Region,,Region_2,,,,,,,,region_id,0
34,Region 3,Subnational Region,,Region_3,,,,,,,,region_id,0
35,Region 4,Subnational Region,,Region_4,,,,,,,,region_id,0
36,Region 5,Subnational Region,,Region_5,,,,,,,,region_id,0
37,Region 6,Subnational Region,,Region_6,,,,,,,,region_id,0
38,Region 7,Subnational Region,,Region_7,,,,,,,,region_id,0
39,Region 8,Subnational Region,,Region_8,,,,,,,,region_id,0
40,Region 9,Subnational Region,,Region_9,,,,,,,,region_id,0
41,Region 10,Subnational Region,,Region_10,,,,,,,,region_id,0
42,Region 11,Subnational Region,,Region_11,,,,,,,,region_id,0
43,Region 12,Subnational Region,,Region_12,,,,,,,,region_id,0
44,Region 13,Subnational Region,,Region_13,,,,,,,,region_id,0
45,Region 14,Subnational Region,,Region_14,,,,,,,,region_id,0
46,Region 15,Subnational Region,,Region_15,,,,,,,,region_id,0
47,Region 16,Subnational Region,,Region_16,,,,,,,,region_id,0
48,Region 17,Subnational Region,,Region_17,,,,,,,,region_id,0
49,Region 18,Subnational Region,,Region_18,,,,,,,,region_id,0
50,Region 19,Subnational Region,,Region_19,,,,,,,,region_id,0
51,Region 20,Subnational Region,,Region_20,,,,,,,,region_id,0
52,Region 21,Subnational Region,,Region_21,,,,,,,,region_id,0
53,Region 22,Subnational Region,,Region_22,,,,,,,,region_id,0
