ID,CND_Country_Code,M49,ISO-3 Code,UNICEF_English,UNICEF_French,UNICEF_Spanish,WB_Code,WB_English,UNSD_English,Current or Former,Compliance Asset Id
1,AFG,004,AFG,Afghanistan,Afghanistan,Afganistán,AFG,Afghanistan,Afghanistan,Current,
2,ALB,008,ALB,Albania,Albanie,Albania,ALB,Albania,Albania,Current,
3,DZA,012,DZA,Algeria,Algérie,Argelia,DZA,Algeria,Algeria,Current,
4,AGO,024,AGO,Angola,Angola,Angola,AGO,Angola,Angola,Current,
5,ATG,028,ATG,Antigua and Barbuda,Antigua-et-Barbuda,Antigua y Barbuda,ATG,Antigua and Barbuda,Antigua and Barbuda,Current,
6,AZE,031,AZE,Azerbaijan,Azerbaïdjan,Azerbaiyán,AZE,Azerbaijan,Azerbaijan,Current,
7,ARG,032,ARG,Argentina,Argentine,Argentina,ARG,Argentina,Argentina,Current,
8,AUS,036,AUS,Australia,Australie,Australia,AUS,Australia,Australia,Current,
9,AUT,040,AUT,Austria,Autriche,Austria,AUT,Austria,Austria,Current,
10,BHS,044,BHS,Bahamas,Bahamas,Bahamas,BHS,"Bahamas, The",Bahamas,Current,
11,BHR,048,BHR,Bahrain,Bahreïn,Bahrein,BHR,Bahrain,Bahrain,Current,
12,BGD,050,BGD,Bangladesh,Bangladesh,Bangladesh,BGD,Bangladesh,Bangladesh,Current,
13,ARM,051,ARM,Armenia,Arménie,Armenia,ARM,Armenia,Armenia,Current,
14,BRB,052,BRB,Barbados,Barbade,Barbados,BRB,Barbados,Barbados,Current,
15,BEL,056,BEL,Belgium,Belgique,Bélgica,BEL,Belgium,Belgium,Current,
16,BTN,064,BTN,Bhutan,Bhoutan,Bhután,BTN,Bhutan,Bhutan,Current,
17,BOL,068,BOL,Bolivia (Plurinational State of),Bolivie (État plurinational de),Bolivia (Estado Plurinacional de),BOL,Bolivia,Bolivia (Plurinational State of),Current,
18,BIH,070,BIH,Bosnia and Herzegovina,Bosnie-Herzégovine,Bosnia y Herzegovina,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,Current,
19,BWA,072,BWA,Botswana,Botswana,Botswana,BWA,Botswana,Botswana,Current,
20,BRA,076,BRA,Brazil,Brésil,Brasil,BRA,Brazil,Brazil,Current,
21,BLZ,084,BLZ,Belize,Belize,Belice,BLZ,Belize,Belize,Current,
22,SLB,090,SLB,Solomon Islands,Îles Salomon,Islas Salomón,SLB,Solomon Islands,Solomon Islands,Current,
