ID,Indicator Name,Alternate (Display) Name,Indicator Definition,Measure Type,Numerator Definition,Denominator Definition,Additional Indicator Details,Nutrition Domain,Sub-domain,Indicator Code,Helix Indicator Code,Core Indicator,SOWC Indicator,SDG Indicator,SDG Indicator Code,Strategic Plan Indicator,Strategic Plan Indicator Code,Emergency Indicator,Data Quality Indicator,Collection Mechanism,Year Assignment Method,Base Population,Aggregation Method,WPP Population Used,Aggregation Notes,Decision Engine Status,Notes,Compliance Asset Id,WPP_CND_REGEX,Custodian(s)
1,Percentage of households consuming iodized salt (>0 ppm),,Percentage of surveyed households which have salt they used for cooking that tested positive (>0ppm) for presence of iodine,Proportion,Number of surveyed households which had salt they used for cooking which tested positive (>0ppm) for presence of iodine,Number of surveyed households,,Micronutrients,Iodine,IOD_ANY_HH,NT_IOD_ANY_HH,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 80+,Crude Country Weighted Aggregation,,,Not Applicable,,,,"Division of Analysis, Planning and Monitoring, UNICEF"
2,Percentage of children (0-59 months) living in households consuming iodized salt (>0 ppm),,Percentage of children living in households consuming iodized salt (>0 ppm),Proportion,Number of under-fives living in surveyed households which had salt they used for cooking which tested positive (>0ppm) for presence of iodine,Children under 5 years of age in the surveyed population,,Micronutrients,Iodine,IOD_ANY_U5,NT_IOD_ANY_U5,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 59 months,Crude Country Weighted Aggregation,,,Not Applicable,,,,"Division of Analysis, Planning and Monitoring, UNICEF"
3,Percentage of children (0-59 months) living in tested households consuming iodized salt (>0 ppm),,Percentage of households consuming iodized salt (>0 ppm),Proportion,Number of children living in tested households which had salt they used for cooking which tested positive (>0ppm) for presence of iodine.,Children under 5 years of age living in tested households,,Micronutrients,Iodine,IOD_TH_U5,NT_IOD_TH_U5,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 59 months,Crude Country Weighted Aggregation,,,Not Applicable,,,,"Division of Analysis, Planning and Monitoring, UNICEF"
4,Semester 1 VAS Coverage (January to June),Vitamin A Supplementation Semester 1 Coverage,Percentage of children 6–59 months of age who received an age appropriate dose of vitamin A in semester 1 through the main distribution mechanism,Proportion,Number of children aged 6–59 months that received an age appropriate dose of vitamin A through the main distribution mechanism in semester 1,Total population of children aged 6–59 months,"Only priority countries for national level programmes are included in this database

Main distribution mechanism is defined as the mechanism that achieved the highest coverage in the semester.",Micronutrients,Vitamin A,VAS_S1,NT_VAS_S1,False,False,False,,False,,False,False,Nutridash,Other,6 to 59 months,Crude Country Weighted Aggregation,6 to 59 months,,Not Applicable,,,pop_month_6_59,"Division of Analysis, Planning and Monitoring, UNICEF, Programme Division, UNICEF"
5,Semester 2 VAS Coverage (July to December),Vitamin A Supplementation Semester 2 Coverage,Percentage of children 6–59 months of age who received an age appropriate dose of vitamin A in semester 2 through the main distribution mechanism,Proportion,Number of children aged 6–59 months that received an age appropriate dose of vitamin A through the main distribution mechanism in semester 2,Total population of children aged 6–59 months,"Only priority countries for national level programmes are included in this database

Main distribution mechanism is defined as the mechanism that achieved the highest coverage in the semester.",Micronutrients,Vitamin A,VAS_S2,NT_VAS_S2,False,False,False,,False,,False,False,Nutridash,Other,6 to 59 months,Crude Country Weighted Aggregation,6 to 59 months,,Not Applicable,,,pop_month_6_59,"Division of Analysis, Planning and Monitoring, UNICEF, Programme Division, UNICEF"
6,Iodized salt consumption (>0 ppm) among all tested households,Percentage of households consuming iodized salt (>0 ppm) among all tested households,Percentage of tested households which have salt they used for cooking that tested positive (>0ppm) for presence of iodine,Proportion,Number of tested households which had salt they used for cooking which tested positive (>0ppm) for presence of iodine,Number of tested households,,Micronutrients,Iodine,IOD_ANY_TH,NT_IOD_ANY_TH,True,True,False,,True,1.15,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 80+,Crude Country Weighted Aggregation,Total Population,,Active,,,pop_year_0_100,"Division of Analysis, Planning and Monitoring, UNICEF"
7,Iodized salt consumption (>0 ppm) among all tested households with salt,Percentage of households consuming iodized salt (>0 ppm) among all tested households with salt,"Percentage of households, which had salt they used for cooking, which tested positive (>0ppm) for presence of iodine.",Proportion,"Number of surveyed households, which had salt they used for cooking, which tested positive (>0ppm) for presence of iodine",Number of tested households that had salt,,Micronutrients,Iodine,IOD_ANY_TS,NT_IOD_ANY_TS,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 80+,Crude Country Weighted Aggregation,Total Population,,Active,,,pop_year_0_100,"Division of Analysis, Planning and Monitoring, UNICEF"
8,Percentage of households consuming non-iodized salt (0 ppm),,Percentage of surveyed households which have salt they used for cooking that tested negative (0ppm) for presence of iodine,Proportion,Number of surveyed households which had salt they used for cooking which tested negative (0ppm) for presence of iodine,Number of surveyed households,,Micronutrients,Iodine,IOD_NO_HH,NT_IOD_NO_HH,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 80+,Crude Country Weighted Aggregation,,,Not Applicable,​​,,,"Division of Analysis, Planning and Monitoring, UNICEF"
9,Percentage of households with salt test results flagged as not tested,,Percentage of surveyed households with salt test results explicitly flagged as not tested,Proportion,Number of surveyed households with salt testing results explicitly flagged as not tested,Number of surveyed households,,Micronutrients,Iodine,IOD_NO_TEST_HH,NT_IOD_NO_TEST_HH,False,False,False,,False,,False,True,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 80+,Not Aggregated,,,Not Applicable,,,,"Division of Analysis, Planning and Monitoring, UNICEF"
10,Percentage of households with salt test results flagged as missing,,Percentage of surveyed households with salt test results explicitly flagged as missing,Proportion,Number of surveyed households with salt testing results explicitly flagged as missing,Number of surveyed households,,Micronutrients,Iodine,IOD_MISS_SALT_HH,NT_IOD_MISS_SALT_HH,False,False,False,,False,,False,True,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 80+,Not Aggregated,,,Not Applicable,,,,"Division of Analysis, Planning and Monitoring, UNICEF"
