ID,Display Name,Full Name,Level,UNPD_Location_ID,Status,Classification,Class,Core,Description,CND_REGEX,HELIX_CODE,Compliance Asset Id
1,Global,Global (202 Countries),Level 1 (Global),,Current,SOWCCountry,Yes,Core,,SOWCCountry_Yes,WORLD,
2,Global,Global (249 Countries and Areas),Level 1 (Global),900,Current,AllCountries,Yes,Additional,,AllCountries_Yes,,
3,Global (M49),Global (247 Countries),Level 1 (Global),1,Current,SDGReportingCountry,Yes,Additional,,SDGReportingCountry_Yes,,
4,UNICEF Humanitarian Action for Children Countries,UNICEF Humanitarian Action for Children Countries,Level 2 (Regional),,Current,HAC_Latest,HAC Country,Core,Based on 2022 Classification,HAC_Latest_HAC Country,,
5,Least Developed Countries,Least Developed Countries,Level 2 (Regional),199,Current,LDC_Latest,Yes,Core,Based on 2020 Classification,LDC_Latest_Yes,UNSDG_LDC,
6,Landlocked developing countries (LLDCs),Landlocked developing countries (LLDCs),Level 2 (Regional),432,Current,LLDSSIDS_Latest,Landlocked developing countries (LLDCs),Core,Based on 2018 Classification,LLDSSIDS_Latest_Landlocked developing countries (LLDCs),UNSDG_LLDC,
7,Small island developing States (SIDS),Small island developing States (SIDS),Level 2 (Regional),722,Current,LLDSSIDS_Latest,Small island developing States (SIDS),Core,Based on 2018 Classification,LLDSSIDS_Latest_Small island developing States (SIDS),UNSDG_SIDS,
8,Low Income Food Deficit Countries (FAO),Low Income Food Deficit Countries (FAO),Level 2 (Regional),,Current,Low_Income_Food_Deficit_Latest,Yes,Core,Based on 2021 Classification,Low_Income_Food_Deficit_Latest_Yes,FAO_LIFDC,
9,Central Asia (M49) and Southern Asia (M49),Central Asia and Southern Asia,Level 2 (Regional),62,Current,SDGRegion,Central Asia and Southern Asia,Core,,SDGRegion_Central Asia and Southern Asia,UNSDG_CENTRALASIASOUTHERNASIA,
10,Eastern Asia (M49) and South-eastern Asia (M49),Eastern Asia and South-eastern Asia,Level 2 (Regional),753,Current,SDGRegion,Eastern Asia and South-eastern Asia,Core,,SDGRegion_Eastern Asia and South-eastern Asia,UNSDG_EASTERNASIASOUTHEASTERNASIA,
11,Northern America (M49) and Europe (M49),Northern America and Europe,Level 2 (Regional),513,Current,SDGRegion,Northern America and Europe,Core,,SDGRegion_Northern America and Europe,UNSDG_EUROPENORTHERNAMR,
12,Oceania (M49) excluding Australia and New Zealand (M49),Oceania excluding Australia and New Zealand,Level 2 (Regional),543,Current,SDGRegion,Oceania excluding Australia and New Zealand,Core,,SDGRegion_Oceania excluding Australia and New Zealand,UNDEV_543,
13,Sub-Saharan Africa (M49),Sub-Saharan Africa,Level 2 (Regional),202,Current,SDGRegion,Sub-Saharan Africa,Core,,SDGRegion_Sub-Saharan Africa,UNSDG_SUBSAHARANAFRICA,
14,Western Asia (M49) and Northern Africa (M49),Western Asia and Northern Africa,Level 2 (Regional),747,Current,SDGRegion,Western Asia and Northern Africa,Core,,SDGRegion_Western Asia and Northern Africa,UNSDG_WESTERNASIANORTHERNAFR,
15,East Asia and Pacific,East Asia and Pacific,Level 2 (Regional),2036,Current,SOWC_Reporting_Region,EAP,Core,,SOWC_Reporting_Region_EAP,UNICEF_EAP,
16,Europe and Central Asia,Europe and Central Asia,Level 2 (Regional),2034,Current,SOWC_Reporting_Region,ECA,Core,,SOWC_Reporting_Region_ECA,UNICEF_ECA,
17,Latin America and Caribbean,Latin America and Caribbean,Level 2 (Regional),2031,Current,SOWC_Reporting_Region,LAC,Core,,SOWC_Reporting_Region_LAC,UNICEF_LAC,
18,Middle East and North Africa,Middle East and North Africa,Level 2 (Regional),2037,Current,SOWC_Reporting_Region,MENA,Core,,SOWC_Reporting_Region_MENA,UNICEF_MENA,
19,North America,North America,Level 2 (Regional),2032,Current,SOWC_Reporting_Region,,Core,,SOWC_Reporting_Region_NA,UNICEF_NA,
20,South Asia,South Asia,Level 2 (Regional),2038,Current,SOWC_Reporting_Region,SA,Core,,SOWC_Reporting_Region_SA,UNICEF_SA,
21,Sub-Saharan Africa,Sub-Saharan Africa,Level 2 (Regional),2033,Current,SOWC_Reporting_Region,SSA,Core,,SOWC_Reporting_Region_SSA,UNICEF_SSA,
22,Eastern Europe and Central Asia,Eastern Europe and Central Asia,Level 2 (Regional),2029,Current,SOWC_Reporting_Sub_Region,EECA,Core,,SOWC_Reporting_Sub_Region_EECA,UNICEF_EECA,
23,Eastern and Southern Africa,Eastern and Southern Africa,Level 2 (Regional),2039,Current,SOWC_Reporting_Sub_Region,ESA,Core,,SOWC_Reporting_Sub_Region_ESA,UNICEF_ESA,
24,West and Central Africa,West and Central Africa,Level 2 (Regional),2040,Current,SOWC_Reporting_Sub_Region,WCA,Core,,SOWC_Reporting_Sub_Region_WCA,UNICEF_WCA,
25,Western Europe,Western Europe,Level 2 (Regional),2030,Current,SOWC_Reporting_Sub_Region,WE,Core,,SOWC_Reporting_Sub_Region_WE,UNICEF_WE,
26,Strategic Plan High Burden Countries,Strategic Plan High Burden Countries,Level 2 (Regional),,Current,SP_High_Burden_Latest,High Burden Country,Core,Based on March 2022 Classification,SP_High_Burden_Latest_High Burden Country,,
27,Strategic Plan Development Countries,Strategic Plan Development Countries,Level 2 (Regional),,Current,SP_Humanitarian_Latest,Development,Core,Based on March 2022 Classification,SP_Humanitarian_Latest_Development,,
28,Strategic Plan Humanitarian Countries,Strategic Plan Humanitarian Countries,Level 2 (Regional),,Current,SP_Humanitarian_Latest,Humanitarian,Core,Based on March 2022 Classification,SP_Humanitarian_Latest_Humanitarian,,
29,East Asia and Pacific Programme Countries,East Asia and Pacific Programme Countries,Level 2 (Regional),1586,Current,UNICEF_Programme_Region_Latest,EAPR,Core,Based on March 2022 Classification,UNICEF_Programme_Region_Latest_EAPR,UNICEF_EAPRO,
30,Europe and Central Asia Programme Countries,Europe and Central Asia Programme Countries,Level 2 (Regional),1585,Current,UNICEF_Programme_Region_Latest,ECAR,Core,Based on March 2022 Classification,UNICEF_Programme_Region_Latest_ECAR,UNICEF_ECARO,
31,Eastern and Southern Africa Programme Countries,Eastern and Southern Africa Programme Countries,Level 2 (Regional),1587,Current,UNICEF_Programme_Region_Latest,ESAR,Core,Based on March 2022 Classification,UNICEF_Programme_Region_Latest_ESAR,UNICEF_ESARO,
32,Latin America and Caribbean Programme Countries,Latin America and Caribbean Programme Countries,Level 2 (Regional),1589,Current,UNICEF_Programme_Region_Latest,LACR,Core,Based on March 2022 Classification,UNICEF_Programme_Region_Latest_LACR,UNICEF_LACRO,
33,Middle East and North Africa Programme Countries,Middle East and North Africa Programme Countries,Level 2 (Regional),1590,Current,UNICEF_Programme_Region_Latest,MENAR,Core,Based on March 2022 Classification,UNICEF_Programme_Region_Latest_MENAR,UNICEF_MENARO,
34,South Asia Programme Countries,South Asia Programme Countries,Level 2 (Regional),1591,Current,UNICEF_Programme_Region_Latest,SAR,Core,Based on March 2022 Classification,UNICEF_Programme_Region_Latest_SAR,UNICEF_ROSA,
35,West and Central Africa Programme Countries,West and Central Africa Programme Countries,Level 2 (Regional),1592,Current,UNICEF_Programme_Region_Latest,WCAR,Core,Based on March 2022 Classification,UNICEF_Programme_Region_Latest_WCAR,UNICEF_WCARO,
36,Africa (M49),Africa (M49),Level 2 (Regional),2,Current,UNRegion,Africa,Core,,UNRegion_Africa,UNDEV_002,
37,Asia (M49),Asia (M49),Level 2 (Regional),142,Current,UNRegion,Asia,Core,,UNRegion_Asia,UNDEV_142,
38,Europe (M49),Europe (M49),Level 2 (Regional),150,Historical,UNRegion,Europe,Core,,UNRegion_Europe,UNSDG_EUROPE,
39,Latin America and the Caribbean (M49),Latin America and the Caribbean (M49),Level 2 (Regional),419,Current,UNRegion,Latin America and the Caribbean,Core,,UNRegion_Latin America and the Caribbean,UNDEV_419,
40,Northern America (M49),Northern America (M49),Level 2 (Regional),21,Current,UNRegion,Northern America,Core,,UNRegion_Northern America,UNDEV_021,
41,Oceania (M49),Oceania (M49),Level 2 (Regional),9,Current,UNRegion,Oceania,Core,,UNRegion_Oceania,UNDEV_009,
