ID,Country,Country Specific Survey Type,Country Specific Survey Type (Original Language),Country Specific Survey Type (Abbreviation),Compliance Asset Id,Country:ISO_Code,Data Source Type (Global) - If Nested,Data Source Type (Global) - If Nested:Survey Type (Expanded) (li,Data Source Type (Global) - If Nested:Survey Type
1,India,India Rapid Survey on Swachhta Status,स्वच्छता स्स्ितत रिपोर्ट,,,IND,,,
2,Jamaica,Jamaica Survey of Living Conditions,,JSLC,,JAM,,,
3,Namibia,Namibia Household Income and Expenditure Survey,,NHIES,,NAM,,,
4,Namibia,Namibia Labour Force Survey,,,,NAM,,,
5,Namibia,Namibia Inter-censal Demographic Survey,,,,NAM,Intercensal Survey,Intercensal Survey,Intercensal Survey
6,Lao People's Democratic Republic,Lao Social Indicator Survey,,LSIS,,LAO,,,
7,Peru,Peru Demographic and Health Survey,Peru Encuesta Demográfica y de Salud Familiar,ENDES,,PER,,,
8,Morocco,Morocco National Population and Family Health Survey,Morocco Enquête Nationale sur la Population et la Santé Familiale,ENPSF,,MAR,,,
9,Mozambique,Mozambique Household Budget Survey,Mozambique Inquérito ao Orçamento Familiar,IOF,,MOZ,,,
10,Jamaica,Jamaica Economic & Social Survey,,,,JAM,,,
11,Oman,Oman Annual Health Report,,,,OMN,Statistical Yearbook,Statistical Yearbook,Statistical Yearbook
12,South Africa,South Africa General Household Survey,,GHS,,ZAF,,,
13,South Africa,South Africa National Income Dynamics Study,,NIDS,,ZAF,,,
14,Tunisia,"Tunisia National Household Budget, Consumption and Livelihood Survey",Tunisia  Enquête Nationale sur le Budget la Consommation et le Niveau de Vie des Ménages,EBCNV,,TUN,,,
15,Tunisia,Tunisia National Survey on Population and Employment,Tunisia Enquête Nationale sur la Population et l'Emploi,ENPE,,TUN,,,
16,Afghanistan,Afghanistan Mortality Survey,,,,AFG,,,
17,Afghanistan,Afghanistan Health Survey,,AHS,,AFG,,,
18,Afghanistan,Survey of the Afghan People,,,,AFG,,,
19,Afghanistan,Afghanistan Living Conditions Survey,,ALCS,,AFG,,,
20,Argentina,Argentina Permanent Household Survey,Argentina Encuesta Permanente de Hogares,EPH,,ARG,,,
