ID,Child Age in Months,Child's Age in Months - Value,Compliance Asset Id
1,No Data,-1,
2,0,0,
3,1,1,
4,2,2,
5,3,3,
6,4,4,
7,5,5,
8,6,6,
9,7,7,
10,8,8,
11,9,9,
12,10,10,
13,11,11,
14,12,12,
15,13,13,
16,14,14,
17,15,15,
18,16,16,
19,17,17,
20,18,18,
21,19,19,
22,20,20,
23,21,21,
24,22,22,
25,23,23,
26,24,24,
27,25,25,
28,26,26,
29,27,27,
30,28,28,
31,29,29,
32,30,30,
33,31,31,
34,32,32,
35,33,33,
36,34,34,
37,35,35,
38,36,36,
39,37,37,
40,38,38,
41,39,39,
42,40,40,
43,41,41,
44,42,42,
45,43,43,
46,44,44,
47,45,45,
48,46,46,
49,47,47,
50,48,48,
51,49,49,
52,50,50,
53,51,51,
54,52,52,
55,53,53,
56,54,54,
57,55,55,
58,56,56,
59,57,57,
60,58,58,
61,59,59,
62,72,72,
63,60,60,
64,66,66,
65,71,71,
66,83,83,
67,84,84,
68,114,114,
69,120,120,
70,156,156,
