ISO3Code,FirstLevelName,FirstLevelCode,SecondLevelCode,SecondLevelName,Country,M49
AFG,State of Food Insecurity,sofi,sofi_pc,progress_countries,Afghanistan,4
AGO,State of Food Insecurity,sofi,sofi_pc,progress_countries,Angola,24
ALB,State of Food Insecurity,sofi,sofi_pc,progress_countries,Albania,8
AND,State of Food Insecurity,sofi,sofi_pc,progress_countries,Andorra,20
ARE,State of Food Insecurity,sofi,sofi_pc,progress_countries,United Arab Emirates,784
ARG,State of Food Insecurity,sofi,sofi_pc,progress_countries,Argentina,32
ARM,State of Food Insecurity,sofi,sofi_pc,progress_countries,Armenia,51
ATG,State of Food Insecurity,sofi,sofi_pc,progress_countries,Antigua and Barbuda,28
AUS,State of Food Insecurity,sofi,sofi_pc,progress_countries,Australia,36
AUT,State of Food Insecurity,sofi,sofi_pc,progress_countries,Austria,40
AZE,State of Food Insecurity,sofi,sofi_pc,progress_countries,Azerbaijan,31
BDI,State of Food Insecurity,sofi,sofi_pc,progress_countries,Burundi,108
BEL,State of Food Insecurity,sofi,sofi_pc,progress_countries,Belgium,56
BEN,State of Food Insecurity,sofi,sofi_pc,progress_countries,Benin,204
BFA,State of Food Insecurity,sofi,sofi_pc,progress_countries,Burkina Faso,854
BGD,State of Food Insecurity,sofi,sofi_pc,progress_countries,Bangladesh,50
BGR,State of Food Insecurity,sofi,sofi_pc,progress_countries,Bulgaria,100
BHR,State of Food Insecurity,sofi,sofi_pc,progress_countries,Bahrain,48
BHS,State of Food Insecurity,sofi,sofi_pc,progress_countries,Bahamas,44
BIH,State of Food Insecurity,sofi,sofi_pc,progress_countries,Bosnia and Herzegovina,70
BLR,State of Food Insecurity,sofi,sofi_pc,progress_countries,Belarus,112
BLZ,State of Food Insecurity,sofi,sofi_pc,progress_countries,Belize,84
BOL,State of Food Insecurity,sofi,sofi_pc,progress_countries,Bolivia (Plurinational State of),68
BRA,State of Food Insecurity,sofi,sofi_pc,progress_countries,Brazil,76
BRB,State of Food Insecurity,sofi,sofi_pc,progress_countries,Barbados,52
BRN,State of Food Insecurity,sofi,sofi_pc,progress_countries,Brunei Darussalam,96
BTN,State of Food Insecurity,sofi,sofi_pc,progress_countries,Bhutan,64
BWA,State of Food Insecurity,sofi,sofi_pc,progress_countries,Botswana,72
CAF,State of Food Insecurity,sofi,sofi_pc,progress_countries,Central African Republic,140
CAN,State of Food Insecurity,sofi,sofi_pc,progress_countries,Canada,124
CHE,State of Food Insecurity,sofi,sofi_pc,progress_countries,Switzerland,756
CHL,State of Food Insecurity,sofi,sofi_pc,progress_countries,Chile,152
CHN,State of Food Insecurity,sofi,sofi_pc,progress_countries,China,156
CIV,State of Food Insecurity,sofi,sofi_pc,progress_countries,Côte d'Ivoire,384
CMR,State of Food Insecurity,sofi,sofi_pc,progress_countries,Cameroon,120
COD,State of Food Insecurity,sofi,sofi_pc,progress_countries,Democratic Republic of the Congo,180
COG,State of Food Insecurity,sofi,sofi_pc,progress_countries,Congo,178
COK,State of Food Insecurity,sofi,sofi_pc,progress_countries,Cook Islands,184
COL,State of Food Insecurity,sofi,sofi_pc,progress_countries,Colombia,170
COM,State of Food Insecurity,sofi,sofi_pc,progress_countries,Comoros,174
CPV,State of Food Insecurity,sofi,sofi_pc,progress_countries,Cabo Verde,132
CRI,State of Food Insecurity,sofi,sofi_pc,progress_countries,Costa Rica,188
CUB,State of Food Insecurity,sofi,sofi_pc,progress_countries,Cuba,192
CYP,State of Food Insecurity,sofi,sofi_pc,progress_countries,Cyprus,196
CZE,State of Food Insecurity,sofi,sofi_pc,progress_countries,Czechia,203
DEU,State of Food Insecurity,sofi,sofi_pc,progress_countries,Germany,276
DJI,State of Food Insecurity,sofi,sofi_pc,progress_countries,Djibouti,262
DMA,State of Food Insecurity,sofi,sofi_pc,progress_countries,Dominica,212
DNK,State of Food Insecurity,sofi,sofi_pc,progress_countries,Denmark,208
DOM,State of Food Insecurity,sofi,sofi_pc,progress_countries,Dominican Republic,214
DZA,State of Food Insecurity,sofi,sofi_pc,progress_countries,Algeria,12
ECU,State of Food Insecurity,sofi,sofi_pc,progress_countries,Ecuador,218
EGY,State of Food Insecurity,sofi,sofi_pc,progress_countries,Egypt,818
ERI,State of Food Insecurity,sofi,sofi_pc,progress_countries,Eritrea,232
ESP,State of Food Insecurity,sofi,sofi_pc,progress_countries,Spain,724
EST,State of Food Insecurity,sofi,sofi_pc,progress_countries,Estonia,233
ETH,State of Food Insecurity,sofi,sofi_pc,progress_countries,Ethiopia,231
FIN,State of Food Insecurity,sofi,sofi_pc,progress_countries,Finland,246
FJI,State of Food Insecurity,sofi,sofi_pc,progress_countries,Fiji,242
FRA,State of Food Insecurity,sofi,sofi_pc,progress_countries,France,250
FSM,State of Food Insecurity,sofi,sofi_pc,progress_countries,Micronesia (Federated States of),583
GAB,State of Food Insecurity,sofi,sofi_pc,progress_countries,Gabon,266
GBR,State of Food Insecurity,sofi,sofi_pc,progress_countries,United Kingdom,826
GEO,State of Food Insecurity,sofi,sofi_pc,progress_countries,Georgia,268
GHA,State of Food Insecurity,sofi,sofi_pc,progress_countries,Ghana,288
GIN,State of Food Insecurity,sofi,sofi_pc,progress_countries,Guinea,324
