"doc_index","content_type","style_name","text","table_index","row_id","cell_id","is_header","row_span","col_span","table_stylename"
1,"table cell",NA,"UNICEF Fact Sheet  |  Region or country name  ",2,2,1,TRUE,1,"1","List Table 2 Accent 1"
2,"table cell",NA," Date 2024     ",2,2,2,TRUE,1,"1","List Table 2 Accent 1"
6,"table cell",NA,"",1,3,1,FALSE,1,"2","List Table 2 Accent 1"
7,"table cell",NA,"Photo credit or source name",1,3,2,FALSE,1,"2","List Table 2 Accent 1"
15,"table cell",NA,"LOREM IPSUM",1,6,1,FALSE,1,"1","List Table 2 Accent 1"
16,"table cell",NA,"1,234,000,000",1,6,1,FALSE,1,"1","List Table 2 Accent 1"
17,"table cell",NA,"Total children ",1,6,1,FALSE,1,"1","List Table 2 Accent 1"
18,"table cell",NA,"in need",1,6,1,FALSE,1,"1","List Table 2 Accent 1"
19,"table cell",NA,"1,987,600,000",1,6,1,FALSE,1,"1","List Table 2 Accent 1"
20,"table cell",NA,"Total people ",1,6,1,FALSE,1,"1","List Table 2 Accent 1"
21,"table cell",NA,"in need",1,6,1,FALSE,1,"1","List Table 2 Accent 1"
22,"table cell",NA,"1,234,000,000",1,6,1,FALSE,1,"1","List Table 2 Accent 1"
23,"table cell",NA,"Total children ",1,6,1,FALSE,1,"1","List Table 2 Accent 1"
24,"table cell",NA,"to be reached",1,6,1,FALSE,1,"1","List Table 2 Accent 1"
25,"table cell",NA,"1,987,600,000",1,6,1,FALSE,1,"1","List Table 2 Accent 1"
26,"table cell",NA,"Total people ",1,6,1,FALSE,1,"1","List Table 2 Accent 1"
27,"table cell",NA,"to be reached",1,6,1,FALSE,1,"1","List Table 2 Accent 1"
29,"table cell","heading 4","LOREM IPSUM",1,6,2,FALSE,1,"1","List Table 2 Accent 1"
30,"table cell",NA,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmodo ment tempor incidid utlabore et dolore magna aliqua. Ut enim ad minimos veniamon,  nostrud au exercitation ullo laboris nisi ut aliquip ex ea com consequat. Duisso aute irure dolor in reprehend indul voluptate velit esse cillum dolore eu fugiata nulla pariatur. Excepteur sint occaecat cuomo non proident, sunt culp quitous officia deserunt mollit anim id est laborum. ",1,6,2,FALSE,1,"1","List Table 2 Accent 1"
31,"table cell",NA,"At vero eos et accusamus et iusto odio dignissimos ducimus qui blanditiis minto praesentium voluptatum delen atque corrupti quos dolores et quasits molest am excepturi sint occaecati cupiditate non pro, similique sunt in culpa qui offialent  deserunt mollitia animi, id est labor etour dolorum fuga.",1,6,2,FALSE,1,"1","List Table 2 Accent 1"
32,"table cell",NA,"LOREM IPSUM",1,7,1,FALSE,1,"1","List Table 2 Accent 1"
33,"table cell",NA,"Lorem ipsum",1,7,1,FALSE,1,"1","List Table 2 Accent 1"
34,"table cell",NA,"Lorem Ipsum dolor sit amet consectetur adipiscing elit                     ",1,7,1,FALSE,1,"1","List Table 2 Accent 1"
36,"table cell",NA,"Lorem ipsum",1,7,1,FALSE,1,"1","List Table 2 Accent 1"
37,"table cell",NA,"Lorem Ipsum dolor sit amet consectetur adipiscing elit",1,7,1,FALSE,1,"1","List Table 2 Accent 1"
39,"table cell",NA,"Lorem ipsum",1,7,1,FALSE,1,"1","List Table 2 Accent 1"
40,"table cell",NA,"Lorem Ipsum dolor sit amet consectetur adipiscing elit",1,7,1,FALSE,1,"1","List Table 2 Accent 1"
42,"table cell",NA,"Lorem ipsum",1,7,1,FALSE,1,"1","List Table 2 Accent 1"
43,"table cell",NA,"Lorem Ipsum dolor sit amet consectetur adipiscing elit",1,7,1,FALSE,1,"1","List Table 2 Accent 1"
45,"table cell",NA,"Lorem ipsum",1,7,1,FALSE,1,"1","List Table 2 Accent 1"
46,"table cell",NA,"Lorem Ipsum dolor sit amet consectetur adipiscing elit",1,7,1,FALSE,1,"1","List Table 2 Accent 1"
48,"table cell","heading 4","LOREM IPSUM",1,7,2,FALSE,1,"1","List Table 2 Accent 1"
49,"table cell",NA,"Nonumy animal accommodare eu pro, eum ea alia labitur persecuti mose. Per numquam ceteros antiopam. Neu sed dolore consul incorrupte, rodeo prompta ment vivendum id eos. Unum animal at sit. Id aperiri eripuitose intellegebat ame melos, adot veniam graeci his, ea his misoli vivend oporteat constituam. Veritas iustom roshe oporteat in duo. Cum exsil saperet aperiri eripuit necess, et mellos possito amet probatus, ne option. ",1,7,2,FALSE,1,"1","List Table 2 Accent 1"
